covariate,coef,HR,CI_lower,CI_upper,p_value,유의
parent_AD,0.41709901420245227,1.5175527647731122,1.0705305381791668,2.151238392309259,0.01914088943042981,✅
area_apt,-0.22470336525532025,0.7987531215491135,0.6165902109037257,1.0347335035522824,0.08886228269546444,❌
antibiotic_high,0.21230898728678388,1.2365298980751178,0.95106552993723,1.6076770114195762,0.11289268292416946,❌
mold_ever,0.16677657851938046,1.1814902655133885,0.9220981314719437,1.5138510749117275,0.18727420410438347,❌
child_passive_smoke,0.16216133177869224,1.17604996024866,0.9224519029508467,1.4993665301968309,0.19067573598618287,❌
parent_AR,0.15001718012445958,1.1618542033566372,0.9062067127230656,1.4896217065101498,0.23673446712264712,❌
